Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 18:22:33,0.26250,3.33168,3.33168,0.00000
2024-11-26 18:22:34,0.26515,3.33970,3.33970,0.00000
2024-11-26 18:22:35,0.26250,3.33168,3.33168,0.00000
2024-11-26 18:22:36,0.26500,3.33924,3.33924,0.00000
2024-11-26 18:22:37,0.26250,3.33168,3.33168,0.00000
2024-11-26 18:22:38,0.26500,3.33924,3.33924,0.00000
2024-11-26 18:22:39,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:22:40,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:22:41,0.26250,3.33168,3.33168,0.00000
2024-11-26 18:22:42,0.28000,3.38702,3.38702,0.00000
2024-11-26 18:22:43,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:22:44,0.26010,3.32454,3.32454,0.00000
2024-11-26 18:22:45,0.26131,3.32811,3.32811,0.00000
2024-11-26 18:22:46,0.26368,3.33524,3.33524,0.00000
2024-11-26 18:22:47,0.25879,3.32069,3.32069,0.00000
