cpu_usage,memory_usage
100.0,0.8
100.0,1.6
100.0,2.4
100.0,3.2
100.0,4.1
99.8,4.9
99.8,5.7
100.0,6.7
99.8,7.6
100.0,8.6
99.9,9.5
100.0,10.5
100.0,11.4
99.9,12.3
99.9,13.3
100.0,14.2
100.0,15.2
100.0,15.3
100.0,15.3
100.0,15.4
100.0,15.6
100.0,15.7
100.0,15.8
100.0,15.9
100.0,16.0
100.0,16.2
100.0,16.3
100.0,16.4
100.0,16.6
100.0,16.7
100.0,16.9
100.0,17.1
100.0,17.1
100.0,17.4
100.0,17.5
100.0,17.6
100.0,17.9
100.0,18.1
100.0,18.1
99.9,18.4
99.9,18.7
100.0,18.9
100.0,18.9
99.9,19.0
100.0,19.3
99.9,19.6
100.0,19.8
99.9,19.8
99.9,19.8
100.0,20.1
100.0,20.2
99.9,20.2
100.0,20.2
99.9,19.0
100.0,19.0
100.0,19.0
99.9,13.0
100.0,5.9
