cpu_usage,memory_usage
100.0,0.8
100.0,1.7
100.0,2.5
100.0,3.4
100.0,4.2
100.0,5.1
100.0,6.0
100.0,6.9
100.0,7.9
100.0,8.9
100.0,9.9
100.0,10.8
100.0,11.8
100.0,12.8
100.0,13.8
100.0,14.7
100.0,15.3
100.0,15.3
100.0,15.4
100.0,15.5
100.0,15.6
100.0,15.7
100.0,15.8
100.0,16.0
99.9,16.0
100.0,16.2
100.0,16.3
100.0,16.4
100.0,16.6
100.0,16.7
100.0,16.9
100.0,17.1
100.0,17.2
100.0,17.5
100.0,17.5
100.0,17.7
99.9,18.0
100.0,18.1
100.0,18.1
100.0,18.4
100.0,18.7
100.0,18.9
100.0,18.9
100.0,19.0
100.0,19.3
100.0,19.6
100.0,19.8
100.0,19.8
100.0,19.9
100.0,20.2
99.9,20.2
99.9,20.2
100.0,20.2
100.0,19.0
100.0,19.0
100.0,17.8
100.0,10.5
100.0,5.1
