cpu_usage,memory_usage
100.0,0.3
100.0,0.5
100.0,0.6
100.0,0.8
99.8,0.9
99.8,1.1
99.8,1.2
100.0,1.4
100.0,1.5
100.0,1.7
100.0,1.9
99.9,2.0
99.8,2.2
100.0,2.3
99.9,2.5
99.8,2.7
99.9,2.9
99.8,2.9
99.8,3.1
100.0,3.3
99.9,3.5
99.9,3.6
99.9,3.7
99.9,3.9
99.9,4.1
99.9,4.3
100.0,4.4
99.9,4.4
99.9,4.6
99.9,4.8
99.9,5.0
99.9,5.2
99.9,5.4
99.9,5.5
99.9,5.5
99.9,5.8
100.0,6.0
99.9,6.2
99.9,6.5
99.9,6.7
99.9,7.0
99.9,7.2
99.9,7.5
99.9,7.7
99.9,7.8
99.9,7.8
99.9,7.8
99.9,7.8
99.8,7.8
99.1,7.8
99.0,7.8
99.0,7.5
98.9,4.0
