Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 15:46:20,0.25622,3.31319,3.31319,0.00000
2024-11-26 15:46:21,0.26131,3.32811,3.32811,0.00000
2024-11-26 15:46:22,0.26250,3.33168,3.33168,0.00000
2024-11-26 15:46:23,0.26000,3.32424,3.32424,0.00000
2024-11-26 15:46:24,0.26119,3.32778,3.32778,0.00000
2024-11-26 15:46:25,0.26382,3.33565,3.33565,0.00000
2024-11-26 15:46:26,0.26119,3.32778,3.32778,0.00000
2024-11-26 15:46:27,0.26131,3.32811,3.32811,0.00000
2024-11-26 15:46:28,0.26250,3.33168,3.33168,0.00000
2024-11-26 15:46:29,0.26000,3.32424,3.32424,0.00000
2024-11-26 15:46:30,0.26119,3.32778,3.32778,0.00000
2024-11-26 15:46:31,0.26131,3.32811,3.32811,0.00000
2024-11-26 15:46:32,0.26131,3.32811,3.32811,0.00000
2024-11-26 15:46:33,0.26119,3.32778,3.32778,0.00000
2024-11-26 15:46:34,0.26131,3.32811,3.32811,0.00000
2024-11-26 15:46:35,0.26250,3.33168,3.33168,0.00000
2024-11-26 15:46:36,0.25879,3.32069,3.32069,0.00000
2024-11-26 15:46:37,0.25879,3.32069,3.32069,0.00000
2024-11-26 15:46:38,0.28250,3.39540,3.39540,0.00000
2024-11-26 15:46:39,0.27889,3.38335,3.38335,0.00000
2024-11-26 15:46:40,0.25879,3.32069,3.32069,0.00000
2024-11-26 15:46:41,0.26250,3.33168,3.33168,0.00000
2024-11-26 15:46:42,0.26000,3.32424,3.32424,0.00000
2024-11-26 15:46:43,0.26250,3.33168,3.33168,0.00000
