Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 19:36:12,0.25750,3.31691,3.31691,0.00000
2024-11-26 19:36:13,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:14,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:15,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:16,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:36:17,0.26500,3.33924,3.33924,0.00000
2024-11-26 19:36:18,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:19,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:20,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:21,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:36:22,0.26500,3.33924,3.33924,0.00000
2024-11-26 19:36:23,0.26500,3.33924,3.33924,0.00000
2024-11-26 19:36:24,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:25,0.26010,3.32454,3.32454,0.00000
2024-11-26 19:36:26,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:27,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:28,0.27250,3.36260,3.36260,0.00000
2024-11-26 19:36:29,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:36:30,0.25879,3.32069,3.32069,0.00000
2024-11-26 19:36:31,0.27778,3.37967,3.37967,0.00000
2024-11-26 19:36:32,0.26119,3.32778,3.32778,0.00000
2024-11-26 19:36:33,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:36:34,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:35,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:36:36,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:37,0.25879,3.32069,3.32069,0.00000
2024-11-26 19:36:38,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:39,0.26396,3.33608,3.33608,0.00000
2024-11-26 19:36:40,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:36:41,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:36:42,0.25750,3.31691,3.31691,0.00000
2024-11-26 19:36:43,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:44,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:45,0.28000,3.38702,3.38702,0.00000
2024-11-26 19:36:46,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:47,0.26396,3.33608,3.33608,0.00000
2024-11-26 19:36:48,0.26119,3.32778,3.32778,0.00000
2024-11-26 19:36:49,0.28000,3.38702,3.38702,0.00000
2024-11-26 19:36:50,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:51,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:52,0.26500,3.33924,3.33924,0.00000
2024-11-26 19:36:53,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:54,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:55,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:56,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:36:57,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:36:58,0.25500,3.30968,3.30968,0.00000
2024-11-26 19:36:59,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:37:00,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:37:01,0.26500,3.33924,3.33924,0.00000
2024-11-26 19:37:02,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:37:03,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:37:04,0.25879,3.32069,3.32069,0.00000
2024-11-26 19:37:05,0.26368,3.33524,3.33524,0.00000
2024-11-26 19:37:06,0.26633,3.34331,3.34331,0.00000
2024-11-26 19:37:07,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:37:08,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:37:09,0.26250,3.33168,3.33168,0.00000
