Date,CPU Utilization,CPU Power
2024-11-26 18:06:59,0.25000,3.17303
2024-11-26 18:07:00,0.25126,3.22397
2024-11-26 18:07:01,0.24876,3.12412
2024-11-26 18:07:02,0.24874,3.16811
2024-11-26 18:07:03,0.25250,3.22835
2024-11-26 18:07:04,0.25000,3.12795
2024-11-26 18:07:05,0.25250,3.20476
2024-11-26 18:07:06,0.25126,3.20011
2024-11-26 18:07:07,0.24750,3.14130
2024-11-26 18:07:08,0.25253,3.22770
2024-11-26 18:07:09,0.24750,3.16442
2024-11-26 18:07:10,0.25250,3.18172
2024-11-26 18:07:11,0.25000,3.19638
2024-11-26 18:07:12,0.25126,3.15406
2024-11-26 18:07:13,0.24876,3.10231
2024-11-26 18:07:14,0.25000,3.19638
2024-11-26 18:07:15,0.25126,3.20011
2024-11-26 18:07:16,0.25126,3.17681
2024-11-26 18:07:17,0.25000,3.12795
2024-11-26 18:07:18,0.25124,3.17792
2024-11-26 18:07:19,0.24750,3.14130
2024-11-26 18:07:20,0.25250,3.20476
2024-11-26 18:07:21,0.24750,3.14130
2024-11-26 18:07:22,0.25126,3.20011
2024-11-26 18:07:23,0.25000,3.19638
2024-11-26 18:07:24,0.25000,3.19638
2024-11-26 18:07:25,0.25250,3.22835
2024-11-26 18:07:26,0.25000,3.19638
2024-11-26 18:07:27,0.25000,3.12795
2024-11-26 18:07:28,0.25253,2.99461
2024-11-26 18:07:29,0.24876,3.10231
2024-11-26 18:07:30,0.25377,3.11986
2024-11-26 18:07:31,0.25253,3.11419
2024-11-26 18:07:32,0.25250,3.07437
