Date,CPU Utilization,CPU Power
2024-11-26 06:49:40,0.25,3.17303
2024-11-26 06:49:41,0.24938,3.14833
2024-11-26 06:49:42,0.25126,3.20011
2024-11-26 06:49:43,0.25,3.17303
2024-11-26 06:49:44,0.25313,3.18366
2024-11-26 06:49:45,0.25063,3.15213
2024-11-26 06:49:46,0.25063,3.19824
2024-11-26 06:49:47,0.25,3.19638
2024-11-26 06:49:48,0.25063,3.19824
2024-11-26 06:49:49,0.25189,3.15601
2024-11-26 06:49:50,0.25,3.19638
2024-11-26 06:49:51,0.25,3.19638
2024-11-26 06:49:52,0.25,3.17303
2024-11-26 06:49:53,0.25,3.19638
2024-11-26 06:49:54,0.25063,3.19824
