Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 19:02:20,0.25500,3.30968,3.30968,0.00000
2024-11-26 19:02:21,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:02:22,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:02:23,0.27000,3.35469,3.35469,0.00000
2024-11-26 19:02:24,0.26382,3.33565,3.33565,0.00000
2024-11-26 19:02:25,0.25879,3.32069,3.32069,0.00000
2024-11-26 19:02:26,0.26119,3.32778,3.32778,0.00000
2024-11-26 19:02:27,0.26515,3.33970,3.33970,0.00000
2024-11-26 19:02:28,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:02:29,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:02:30,0.26131,3.32811,3.32811,0.00000
2024-11-26 19:02:31,0.25750,3.31691,3.31691,0.00000
2024-11-26 19:02:32,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:02:33,0.26119,3.32778,3.32778,0.00000
2024-11-26 19:02:34,0.26263,3.33206,3.33206,0.00000
2024-11-26 19:02:35,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:02:36,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:02:37,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:02:38,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:02:39,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:02:40,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:02:41,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:02:42,0.26000,3.32424,3.32424,0.00000
