Date,CPU Utilization,CPU Power
2024-11-26 06:17:03,0.2525,3.22835
2024-11-26 06:17:04,0.24812,3.14316
2024-11-26 06:17:05,0.25191,3.13234
2024-11-26 06:17:06,0.25313,3.23022
2024-11-26 06:17:07,0.25126,3.13185
2024-11-26 06:17:08,0.25063,3.22212
2024-11-26 06:17:09,0.25063,3.17491
2024-11-26 06:17:10,0.24938,3.14833
2024-11-26 06:17:11,0.25,3.17303
2024-11-26 06:17:12,0.25063,3.19824
2024-11-26 06:17:13,0.25313,3.11782
2024-11-26 06:17:14,0.2475,3.1413
2024-11-26 06:17:15,0.25316,3.11623
2024-11-26 06:17:16,0.25063,3.22212
2024-11-26 06:17:17,0.25,3.17303
2024-11-26 06:17:18,0.25063,3.17491
2024-11-26 06:17:19,0.25313,3.18366
2024-11-26 06:17:20,0.25,3.17303
2024-11-26 06:17:21,0.25126,3.22397
2024-11-26 06:17:22,0.25063,3.17491
2024-11-26 06:17:23,0.25063,3.17491
2024-11-26 06:17:24,0.24938,3.17116
2024-11-26 06:17:25,0.25063,3.19824
2024-11-26 06:17:26,0.25063,3.19824
2024-11-26 06:17:27,0.24938,2.94719
2024-11-26 06:17:28,0.25063,3.10817
2024-11-26 06:17:29,0.25063,3.0069
2024-11-26 06:17:30,0.25126,3.04806
2024-11-26 06:17:31,0.25126,3.15406
