Date,CPU Utilization,CPU Power
2024-11-26 14:08:05,0.2525,3.22835
2024-11-26 14:08:06,0.2475,3.1413
2024-11-26 14:08:07,0.25253,3.18066
2024-11-26 14:08:08,0.25124,3.17792
2024-11-26 14:08:09,0.25126,3.20011
2024-11-26 14:08:10,0.25,3.19638
2024-11-26 14:08:11,0.2475,3.11872
2024-11-26 14:08:12,0.25,3.2203
2024-11-26 14:08:13,0.25,3.1062
2024-11-26 14:08:14,0.24876,3.16931
2024-11-26 14:08:15,0.25126,3.11016
2024-11-26 14:08:16,0.2475,3.1413
2024-11-26 14:08:17,0.2525,3.22835
2024-11-26 14:08:18,0.25,3.12795
2024-11-26 14:08:19,0.25,3.19638
2024-11-26 14:08:20,0.25,3.17303
2024-11-26 14:08:21,0.2475,3.1413
2024-11-26 14:08:22,0.2525,3.20476
2024-11-26 14:08:23,0.24874,3.14504
2024-11-26 14:08:24,0.24876,2.98164
2024-11-26 14:08:25,0.25377,3.1856
2024-11-26 14:08:26,0.24876,3.10231
2024-11-26 14:08:27,0.25126,3.11016
2024-11-26 14:08:28,0.25,3.1062
