Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 17:48:30,0.27387,3.36698,3.36698,0.00000
2024-11-26 17:48:31,0.27000,3.35469,3.35469,0.00000
2024-11-26 17:48:32,0.27250,3.36260,3.36260,0.00000
2024-11-26 17:48:33,0.26866,3.35050,3.35050,0.00000
2024-11-26 17:48:34,0.31061,3.49820,3.49820,0.00000
2024-11-26 17:48:35,0.26750,3.34691,3.34691,0.00000
2024-11-26 17:48:36,0.27500,3.37062,3.37062,0.00000
2024-11-26 17:48:37,0.27500,3.37062,3.37062,0.00000
2024-11-26 17:48:38,0.27136,3.35897,3.35897,0.00000
2024-11-26 17:48:39,0.26884,3.35108,3.35108,0.00000
2024-11-26 17:48:40,0.27500,3.37062,3.37062,0.00000
2024-11-26 17:48:41,0.27500,3.37062,3.37062,0.00000
2024-11-26 17:48:42,0.27665,3.37598,3.37598,0.00000
2024-11-26 17:48:43,0.27750,3.37876,3.37876,0.00000
2024-11-26 17:48:44,0.26382,3.33565,3.33565,0.00000
2024-11-26 17:48:45,0.26633,3.34331,3.34331,0.00000
2024-11-26 17:48:46,0.27638,3.37510,3.37510,0.00000
2024-11-26 17:48:47,0.27136,3.35897,3.35897,0.00000
2024-11-26 17:48:48,0.26866,3.35050,3.35050,0.00000
2024-11-26 17:48:49,0.27000,3.35469,3.35469,0.00000
2024-11-26 17:48:50,0.26768,3.34745,3.34745,0.00000
2024-11-26 17:48:51,0.27273,3.36332,3.36332,0.00000
2024-11-26 17:48:52,0.26750,3.34691,3.34691,0.00000
2024-11-26 17:48:53,0.26500,3.33924,3.33924,0.00000
2024-11-26 17:48:54,0.31818,3.52866,3.52866,0.00000
2024-11-26 17:48:55,0.27638,3.37510,3.37510,0.00000
2024-11-26 17:48:56,0.29397,3.43544,3.43544,0.00000
2024-11-26 17:48:57,0.29146,3.42644,3.42644,0.00000
2024-11-26 17:48:58,0.29146,3.42644,3.42644,0.00000
2024-11-26 17:48:59,0.27000,3.35469,3.35469,0.00000
