cpu_usage,memory_usage
100.0,0.3
100.0,0.5
100.0,0.6
100.0,0.8
99.8,0.9
100.0,1.1
100.0,1.2
99.8,1.4
99.8,1.5
99.9,1.7
99.9,1.9
99.9,2.0
99.9,2.2
99.9,2.3
99.9,2.5
100.0,2.7
99.9,2.9
99.9,2.9
99.9,3.1
99.9,3.3
99.9,3.5
99.9,3.6
99.9,3.7
99.9,3.9
99.9,4.1
100.0,4.3
99.9,4.4
99.9,4.5
99.9,4.7
99.9,4.9
99.7,5.0
99.3,5.1
99.2,5.3
99.2,5.5
99.2,5.5
99.2,5.5
99.1,5.7
99.1,5.9
99.1,6.2
99.1,6.4
99.0,6.7
99.0,6.9
99.1,7.1
99.1,7.4
99.1,7.6
99.1,7.8
99.1,7.8
99.2,7.8
99.2,7.8
99.2,7.8
99.2,7.8
99.2,7.8
99.2,5.5
