__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_49_repetition_0,DONE,r5,no,loop10,23.871434,111.913,0.3,69.991
run_42_repetition_0,DONE,r5,no,loop3,51.091917,99.884,4.194,154.667
run_104_repetition_0,DONE,r11,no,loop5,36.412702,99.846,3.254,110.037
run_51_repetition_0,DONE,r6,no,loop2,30.700883,99.928,3.052,91.627
run_85_repetition_0,DONE,r9,no,loop6,20.701835,99.935,8.115,59.967
run_52_repetition_0,DONE,r6,no,loop3,51.348616,100.014,4.182,157.97
run_158_repetition_0,DONE,r16,no,loop9,16.580508,116.0,1.819,47.737
run_166_repetition_0,DONE,r17,no,loop7,24.136583,100.061,2.304,72.603
run_41_repetition_0,DONE,r5,no,loop2,30.75599,99.921,3.052,91.521
run_196_repetition_0,DONE,r20,no,loop7,24.104132,99.913,2.304,71.973
run_125_repetition_0,DONE,r13,no,loop6,20.494693,99.916,8.447,59.772
run_161_repetition_0,DONE,r17,no,loop2,30.943111,99.987,2.937,91.421
run_138_repetition_0,DONE,r14,no,loop9,16.936162,116.25,1.819,47.468
run_172_repetition_0,DONE,r18,no,loop3,50.978362,99.912,4.176,154.751
run_33_repetition_0,DONE,r4,no,loop4,26.832053,111.115,1.185,79.567
run_133_repetition_0,DONE,r14,no,loop4,26.397625,111.6,1.184,79.515
run_8_repetition_0,DONE,r1,no,loop9,16.6414,116.375,1.819,47.798
run_46_repetition_0,DONE,r5,no,loop7,23.880085,99.974,2.217,69.342
run_109_repetition_0,DONE,r11,no,loop10,26.001713,111.36,0.3,76.325
run_135_repetition_0,DONE,r14,no,loop6,20.026727,100.084,8.374,55.986
run_154_repetition_0,DONE,r16,no,loop5,35.79446,99.988,3.276,106.794
run_139_repetition_0,DONE,r14,no,loop10,24.587306,112.0,0.3,73.397
run_76_repetition_0,DONE,r8,no,loop7,24.053455,100.0,2.309,69.312
run_100_repetition_0,DONE,r11,no,loop1,31.201034,99.847,3.243,94.66
run_147_repetition_0,DONE,r15,no,loop8,26.980708,111.269,1.9,79.71
run_144_repetition_0,DONE,r15,no,loop5,35.634539,99.982,3.282,106.926
run_120_repetition_0,DONE,r13,no,loop1,31.07266,99.987,3.253,91.49
run_0_repetition_0,DONE,r1,no,loop1,30.798443,100.024,3.217,91.328
run_36_repetition_0,DONE,r4,no,loop7,23.955666,99.996,2.278,68.885
run_123_repetition_0,DONE,r13,no,loop4,26.737687,111.0,1.185,79.36
run_114_repetition_0,DONE,r12,no,loop5,36.307943,99.846,3.226,110.163
run_57_repetition_0,DONE,r6,no,loop8,26.162044,111.64,1.9,79.654
