Date,CPU Utilization,CPU Power
2024-11-26 17:28:23,0.25000,3.22030
2024-11-26 17:28:24,0.24876,3.16931
2024-11-26 17:28:25,0.25126,3.20011
2024-11-26 17:28:26,0.25126,3.22397
2024-11-26 17:28:27,0.25250,3.18172
2024-11-26 17:28:28,0.24750,3.16442
2024-11-26 17:28:29,0.25000,3.17303
2024-11-26 17:28:30,0.25126,3.22397
2024-11-26 17:28:31,0.25000,3.19638
2024-11-26 17:28:32,0.25124,3.20100
2024-11-26 17:28:33,0.25253,3.22770
2024-11-26 17:28:34,0.24752,2.97747
2024-11-26 17:28:35,0.25000,3.17303
2024-11-26 17:28:36,0.25000,3.12795
2024-11-26 17:28:37,0.25000,3.17303
2024-11-26 17:28:38,0.25000,3.19638
2024-11-26 17:28:39,0.25000,3.19638
2024-11-26 17:28:40,0.25126,3.17681
2024-11-26 17:28:41,0.25126,3.11016
2024-11-26 17:28:42,0.24750,3.18809
