cpu_usage,memory_usage
99.0,0.2
100.0,0.2
99.6,0.2
99.7,0.2
99.6,0.2
100.0,0.2
99.8,0.2
99.8,0.2
99.7,0.2
99.8,0.2
99.7,0.2
99.7,0.2
99.7,0.2
99.7,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.7,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.7,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.9,0.2
99.8,0.2
99.8,0.2
99.9,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.9,0.2
99.8,0.2
99.8,0.2
99.9,0.2
99.8,0.2
99.9,0.2
99.9,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.9,0.2
