Date,CPU Utilization,CPU Power
2024-11-26 17:33:27,0.25124,3.0502
2024-11-26 17:33:28,0.2551,2.98545
2024-11-26 17:33:29,0.25,3.19638
2024-11-26 17:33:30,0.2475,3.1413
2024-11-26 17:33:31,0.25,3.17303
2024-11-26 17:33:32,0.24876,3.14645
2024-11-26 17:33:33,0.24874,3.19173
2024-11-26 17:33:34,0.25126,3.04806
2024-11-26 17:33:35,0.25,3.17303
2024-11-26 17:33:36,0.25,3.17303
2024-11-26 17:33:37,0.24876,3.14645
2024-11-26 17:33:38,0.25,3.17303
2024-11-26 17:33:39,0.25126,3.20011
2024-11-26 17:33:40,0.24876,3.14645
2024-11-26 17:33:41,0.2551,3.2117
2024-11-26 17:33:42,0.2475,3.1413
2024-11-26 17:33:43,0.25126,3.22397
2024-11-26 17:33:44,0.25,3.17303
2024-11-26 17:33:45,0.24876,3.10231
2024-11-26 17:33:46,0.25,3.15022
2024-11-26 17:33:47,0.25126,3.17681
2024-11-26 17:33:48,0.25126,3.22397
2024-11-26 17:33:49,0.24876,3.14645
