cpu_usage,memory_usage
100.0,0.2
100.0,0.2
99.6,0.2
100.0,0.2
100.0,0.2
100.0,0.2
99.7,0.2
99.6,0.2
99.6,0.2
99.7,0.2
99.7,0.2
99.7,0.2
99.8,0.2
99.7,0.2
99.8,0.2
99.8,0.2
99.8,0.2
99.7,0.2
99.8,0.2
98.9,0.2
98.7,0.2
98.8,0.2
98.8,0.2
98.9,0.2
98.9,0.2
98.9,0.2
99.0,0.2
98.9,0.2
98.9,0.2
99.0,0.2
99.0,0.2
99.0,0.2
99.0,0.2
99.1,0.2
99.1,0.2
99.1,0.2
99.1,0.2
99.2,0.2
99.2,0.2
99.2,0.2
99.2,0.2
99.2,0.2
99.2,0.2
99.2,0.2
98.9,0.2
98.7,0.2
98.8,0.2
98.8,0.2
98.8,0.2
98.8,0.2
98.9,0.2
98.9,0.2
98.9,0.2
98.9,0.2
98.9,0.2
98.9,0.2
99.0,0.2
99.0,0.2
99.0,0.2
99.0,0.2
