Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 05:42:48,0.27062,3.35664,3.35664,0.00000
2024-11-26 05:42:49,0.26000,3.32424,3.32424,0.00000
2024-11-26 05:42:50,0.26250,3.33168,3.33168,0.00000
2024-11-26 05:42:51,0.26000,3.32424,3.32424,0.00000
2024-11-26 05:42:52,0.26250,3.33168,3.33168,0.00000
2024-11-26 05:42:53,0.26566,3.34126,3.34126,0.00000
2024-11-26 05:42:54,0.26250,3.33168,3.33168,0.00000
2024-11-26 05:42:55,0.26500,3.33924,3.33924,0.00000
2024-11-26 05:42:56,0.26316,3.33366,3.33366,0.00000
2024-11-26 05:42:57,0.26065,3.32617,3.32617,0.00000
2024-11-26 05:42:58,0.26329,3.33406,3.33406,0.00000
2024-11-26 05:42:59,0.26750,3.34691,3.34691,0.00000
2024-11-26 05:43:00,0.26316,3.33366,3.33366,0.00000
2024-11-26 05:43:01,0.26263,3.33206,3.33206,0.00000
2024-11-26 05:43:02,0.26566,3.34126,3.34126,0.00000
2024-11-26 05:43:03,0.26185,3.32972,3.32972,0.00000
2024-11-26 05:43:04,0.26250,3.33168,3.33168,0.00000
2024-11-26 05:43:05,0.26316,3.33366,3.33366,0.00000
2024-11-26 05:43:06,0.25935,3.32233,3.32233,0.00000
2024-11-26 05:43:07,0.26250,3.33168,3.33168,0.00000
2024-11-26 05:43:08,0.26250,3.33168,3.33168,0.00000
2024-11-26 05:43:09,0.25815,3.31879,3.31879,0.00000
2024-11-26 05:43:10,0.27250,3.36260,3.36260,0.00000
2024-11-26 05:43:11,0.26500,3.33924,3.33924,0.00000
2024-11-26 05:43:12,0.26382,3.33565,3.33565,0.00000
2024-11-26 05:43:13,0.26250,3.33168,3.33168,0.00000
2024-11-26 05:43:14,0.25815,3.31879,3.31879,0.00000
2024-11-26 05:43:15,0.26065,3.32617,3.32617,0.00000
2024-11-26 05:43:16,0.26566,3.34126,3.34126,0.00000
2024-11-26 05:43:17,0.28643,3.40883,3.40883,0.00000
2024-11-26 05:43:18,0.27612,3.37425,3.37425,0.00000
2024-11-26 05:43:19,0.34171,3.63067,3.63067,0.00000
2024-11-26 05:43:20,0.28321,3.39780,3.39780,0.00000
2024-11-26 05:43:21,0.28643,3.40883,3.40883,0.00000
