Date,CPU Utilization,CPU Power
2024-11-26 18:35:07,0.25250,3.22835
2024-11-26 18:35:08,0.25000,3.22030
2024-11-26 18:35:09,0.24750,3.14130
2024-11-26 18:35:10,0.25126,3.17681
2024-11-26 18:35:11,0.25000,3.15022
2024-11-26 18:35:12,0.25000,3.17303
2024-11-26 18:35:13,0.25000,3.12795
2024-11-26 18:35:14,0.25253,2.95836
2024-11-26 18:35:15,0.25126,3.20011
2024-11-26 18:35:16,0.25126,3.17681
2024-11-26 18:35:17,0.25000,3.15022
2024-11-26 18:35:18,0.25000,3.17303
2024-11-26 18:35:19,0.25000,3.19638
2024-11-26 18:35:20,0.25000,3.15022
2024-11-26 18:35:21,0.25000,3.19638
2024-11-26 18:35:22,0.25253,3.22770
2024-11-26 18:35:23,0.25250,3.13726
2024-11-26 18:35:24,0.24750,3.14130
2024-11-26 18:35:25,0.25377,3.23211
2024-11-26 18:35:26,0.24750,3.16442
2024-11-26 18:35:27,0.25126,3.17681
2024-11-26 18:35:28,0.24874,3.14504
2024-11-26 18:35:29,0.25000,3.17303
2024-11-26 18:35:30,0.25377,3.25621
2024-11-26 18:35:31,0.25126,3.20011
2024-11-26 18:35:32,0.25000,3.17303
2024-11-26 18:35:33,0.25126,3.17681
2024-11-26 18:35:34,0.25000,3.17303
2024-11-26 18:35:35,0.25000,3.19638
2024-11-26 18:35:36,0.25250,3.18172
2024-11-26 18:35:37,0.25000,3.22030
2024-11-26 18:35:38,0.24750,3.11872
2024-11-26 18:35:39,0.25250,3.18172
2024-11-26 18:35:40,0.24874,3.10053
2024-11-26 18:35:41,0.25000,3.17303
2024-11-26 18:35:42,0.24750,3.14130
2024-11-26 18:35:43,0.25377,3.23211
2024-11-26 18:35:44,0.24874,3.12252
2024-11-26 18:35:45,0.25250,3.20476
2024-11-26 18:35:46,0.25000,3.19638
2024-11-26 18:35:47,0.25126,3.20011
2024-11-26 18:35:48,0.25000,3.19638
2024-11-26 18:35:49,0.25126,3.20011
2024-11-26 18:35:50,0.25000,3.10620
2024-11-26 18:35:51,0.25126,3.17681
2024-11-26 18:35:52,0.25126,3.06828
2024-11-26 18:35:53,0.25000,3.12795
2024-11-26 18:35:54,0.25000,3.10620
2024-11-26 18:35:55,0.25126,3.02832
2024-11-26 18:35:56,0.25000,3.00478
2024-11-26 18:35:57,0.25250,3.18172
