Date,CPU Utilization,CPU Power
2024-11-26 16:45:28,0.25126,3.20011
2024-11-26 16:45:29,0.25,3.17303
2024-11-26 16:45:30,0.25,3.15022
2024-11-26 16:45:31,0.25,3.00478
2024-11-26 16:45:32,0.25,3.1062
2024-11-26 16:45:33,0.25,3.1062
2024-11-26 16:45:34,0.25,3.19638
2024-11-26 16:45:35,0.25,3.17303
2024-11-26 16:45:36,0.25,3.19638
2024-11-26 16:45:37,0.25126,3.22397
2024-11-26 16:45:38,0.25,3.19638
2024-11-26 16:45:39,0.25,3.19638
2024-11-26 16:45:40,0.25,3.17303
2024-11-26 16:45:41,0.25,3.19638
2024-11-26 16:45:42,0.25,3.2203
