Date,CPU Utilization,CPU Power
2024-11-26 06:39:39,0.25313,3.13925
2024-11-26 06:39:40,0.24812,3.12061
2024-11-26 06:39:41,0.2525,3.15923
2024-11-26 06:39:42,0.25063,3.12989
2024-11-26 06:39:43,0.25063,3.15213
2024-11-26 06:39:44,0.25063,3.04599
2024-11-26 06:39:45,0.25,3.12795
2024-11-26 06:39:46,0.25,3.12795
2024-11-26 06:39:47,0.25,3.12795
2024-11-26 06:39:48,0.24812,2.87103
2024-11-26 06:39:49,0.2525,3.15923
2024-11-26 06:39:50,0.25126,3.08897
2024-11-26 06:39:51,0.25187,3.15729
2024-11-26 06:39:52,0.24812,3.09859
2024-11-26 06:39:53,0.25126,3.11016
2024-11-26 06:39:54,0.2525,3.15923
2024-11-26 06:39:55,0.24812,3.12061
2024-11-26 06:39:56,0.25063,3.12989
2024-11-26 06:39:57,0.25063,3.04599
2024-11-26 06:39:58,0.25,3.12795
2024-11-26 06:39:59,0.2475,3.09667
2024-11-26 06:40:00,0.25377,3.20858
2024-11-26 06:40:01,0.25063,3.06623
2024-11-26 06:40:02,0.2525,3.1158
2024-11-26 06:40:03,0.24874,3.14504
2024-11-26 06:40:04,0.25063,3.15213
2024-11-26 06:40:05,0.25,3.12795
2024-11-26 06:40:06,0.25,3.12795
2024-11-26 06:40:07,0.25063,2.9696
2024-11-26 06:40:08,0.25313,2.83513
2024-11-26 06:40:09,0.25063,3.02622
2024-11-26 06:40:10,0.25505,2.98794
2024-11-26 06:40:11,0.25063,2.90003
2024-11-26 06:40:12,0.25,2.91454
