cpu_usage,memory_usage
100.0,0.3
100.0,0.5
100.0,0.6
100.0,0.8
100.0,0.9
99.8,1.1
100.0,1.2
100.0,1.4
100.0,1.6
100.0,1.8
100.0,1.9
99.9,2.1
100.0,2.3
99.9,2.3
100.0,2.5
100.0,2.7
100.0,2.9
99.9,3.0
100.0,3.2
99.9,3.4
100.0,3.6
100.0,3.6
100.0,3.8
100.0,4.0
100.0,4.2
99.9,4.4
99.9,4.4
100.0,4.6
100.0,4.8
99.9,5.0
99.9,5.2
100.0,5.4
100.0,5.5
100.0,5.5
99.9,5.7
100.0,6.0
99.9,6.2
99.9,6.5
100.0,6.7
100.0,7.0
99.9,7.2
99.9,7.5
99.9,7.7
99.9,7.8
99.9,7.8
99.9,7.8
100.0,7.8
100.0,7.8
100.0,7.8
99.9,6.7
99.9,0.8
