cpu_usage,memory_usage
102.0,0.8
100.0,1.7
100.0,2.5
100.0,3.3
99.8,4.2
100.0,5.0
100.0,5.9
99.8,6.8
100.0,7.8
99.8,8.8
99.8,9.7
100.0,10.7
99.9,11.7
99.9,12.7
99.9,13.6
99.8,14.6
100.0,15.3
99.9,15.3
99.9,15.4
100.0,15.5
99.9,15.6
99.9,15.7
100.0,15.8
99.9,16.0
99.9,16.1
99.9,16.2
99.9,16.4
99.9,16.4
100.0,16.7
99.9,16.7
99.9,17.0
100.0,17.1
100.0,17.2
99.9,17.5
100.0,17.5
99.9,17.7
100.0,18.0
100.0,18.1
99.9,18.1
99.9,18.4
99.9,18.7
99.9,18.9
99.9,18.9
99.9,19.0
99.9,19.3
99.9,19.6
99.9,19.8
99.9,19.8
99.9,19.9
99.9,20.2
99.9,20.2
99.9,20.2
100.0,20.2
99.9,19.0
99.9,19.0
100.0,17.9
99.9,10.6
99.9,5.1
