cpu_usage,memory_usage
179.0,0.8
139.0,1.0
125.0,1.1
119.0,1.1
115.0,1.1
113.0,1.1
110.0,1.2
109.0,1.2
108.0,1.2
107.0,1.2
106.0,1.2
106.0,1.2
105.0,1.3
105.0,1.3
105.0,1.3
104.0,1.3
104.0,1.3
104.0,1.3
104.0,1.3
103.0,1.3
103.0,1.3
103.0,1.3
103.0,1.3
103.0,1.3
103.0,1.1
102.0,1.1
102.0,1.1
102.0,1.1
102.0,1.1
102.0,1.1
102.0,1.1
102.0,1.1
102.0,1.1
102.0,1.0
