Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 19:32:55,0.26368,3.33524,3.33524,0.00000
2024-11-26 19:32:56,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:32:57,0.27000,3.35469,3.35469,0.00000
2024-11-26 19:32:58,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:32:59,0.26000,3.32424,3.32424,0.00000
2024-11-26 19:33:00,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:33:01,0.26250,3.33168,3.33168,0.00000
2024-11-26 19:33:02,0.27889,3.38335,3.38335,0.00000
2024-11-26 19:33:03,0.27500,3.37062,3.37062,0.00000
