Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 05:19:57,0.28715,3.41133,3.41133,0.00000
2024-11-26 05:19:58,0.35443,3.69043,3.69043,0.00000
2024-11-26 05:19:59,0.27068,3.35682,3.35682,0.00000
2024-11-26 05:20:00,0.28643,3.40883,3.40883,0.00000
2024-11-26 05:20:01,0.27569,3.37285,3.37285,0.00000
2024-11-26 05:20:02,0.26750,3.34691,3.34691,0.00000
2024-11-26 05:20:03,0.27820,3.38105,3.38105,0.00000
2024-11-26 05:20:04,0.27068,3.35682,3.35682,0.00000
2024-11-26 05:20:05,0.27182,3.36044,3.36044,0.00000
2024-11-26 05:20:06,0.27500,3.37062,3.37062,0.00000
2024-11-26 05:20:07,0.28070,3.38936,3.38936,0.00000
2024-11-26 05:20:08,0.32080,3.53946,3.53946,0.00000
2024-11-26 05:20:09,0.26700,3.34537,3.34537,0.00000
2024-11-26 05:20:10,0.26382,3.33565,3.33565,0.00000
2024-11-26 05:20:11,0.27500,3.37062,3.37062,0.00000
2024-11-26 05:20:12,0.27068,3.35682,3.35682,0.00000
2024-11-26 05:20:13,0.26817,3.34898,3.34898,0.00000
2024-11-26 05:20:14,0.27500,3.37062,3.37062,0.00000
2024-11-26 05:20:15,0.26633,3.34331,3.34331,0.00000
2024-11-26 05:20:16,0.27000,3.35469,3.35469,0.00000
2024-11-26 05:20:17,0.28894,3.41758,3.41758,0.00000
2024-11-26 05:20:18,0.26817,3.34898,3.34898,0.00000
2024-11-26 05:20:19,0.27068,3.35682,3.35682,0.00000
2024-11-26 05:20:20,0.29426,3.43650,3.43650,0.00000
2024-11-26 05:20:21,0.33083,3.58209,3.58209,0.00000
2024-11-26 05:20:22,0.29073,3.42385,3.42385,0.00000
2024-11-26 05:20:23,0.30175,3.46408,3.46408,0.00000
2024-11-26 05:20:24,0.27820,3.38105,3.38105,0.00000
2024-11-26 05:20:25,0.27500,3.37062,3.37062,0.00000
