Date,CPU Utilization,CPU Power
2024-11-26 14:42:39,0.24876,3.19272
2024-11-26 14:42:40,0.25,3.17303
2024-11-26 14:42:41,0.25253,3.2039
2024-11-26 14:42:42,0.25,3.19638
2024-11-26 14:42:43,0.25,3.19638
2024-11-26 14:42:44,0.25126,3.15406
2024-11-26 14:42:45,0.25377,3.23211
2024-11-26 14:42:46,0.25126,3.04806
2024-11-26 14:42:47,0.25,3.19638
2024-11-26 14:42:48,0.25,3.19638
2024-11-26 14:42:49,0.2475,3.16442
2024-11-26 14:42:50,0.2525,3.18172
2024-11-26 14:42:51,0.2475,3.16442
2024-11-26 14:42:52,0.25,3.19638
2024-11-26 14:42:53,0.2525,3.18172
2024-11-26 14:42:54,0.25253,3.2277
2024-11-26 14:42:55,0.25,3.15022
2024-11-26 14:42:56,0.25,3.17303
2024-11-26 14:42:57,0.25126,3.17681
2024-11-26 14:42:58,0.25,3.19638
2024-11-26 14:42:59,0.24876,3.14645
2024-11-26 14:43:00,0.25126,3.06828
2024-11-26 14:43:01,0.25126,3.06828
2024-11-26 14:43:02,0.25126,3.00904
2024-11-26 14:43:03,0.25,3.12795
2024-11-26 14:43:04,0.25,3.15022
