Date,CPU Utilization,CPU Power
2024-11-26 18:40:38,0.25,3.17303
2024-11-26 18:40:39,0.24874,3.19173
2024-11-26 18:40:40,0.25,3.17303
2024-11-26 18:40:41,0.24876,3.14645
2024-11-26 18:40:42,0.25126,3.20011
2024-11-26 18:40:43,0.25,3.12795
2024-11-26 18:40:44,0.24874,3.07905
2024-11-26 18:40:45,0.25,3.19638
2024-11-26 18:40:46,0.25,3.17303
2024-11-26 18:40:47,0.2525,3.22835
2024-11-26 18:40:48,0.2475,3.03356
2024-11-26 18:40:49,0.25,3.2203
2024-11-26 18:40:50,0.25,3.19638
2024-11-26 18:40:51,0.25253,3.18066
2024-11-26 18:40:52,0.25126,3.20011
2024-11-26 18:40:53,0.24876,3.14645
2024-11-26 18:40:54,0.25,3.19638
2024-11-26 18:40:55,0.25126,3.17681
2024-11-26 18:40:56,0.25,3.19638
2024-11-26 18:40:57,0.25377,3.05861
2024-11-26 18:40:58,0.25,3.12795
2024-11-26 18:40:59,0.25,3.15022
2024-11-26 18:41:00,0.25,3.0642
2024-11-26 18:41:01,0.25,3.08304
