cpu_usage,memory_usage
101.0,0.3
100.0,0.5
100.0,0.6
100.0,0.8
100.0,0.9
100.0,1.1
100.0,1.2
100.0,1.4
100.0,1.5
100.0,1.7
100.0,1.9
100.0,2.0
99.9,2.2
100.0,2.3
100.0,2.5
100.0,2.7
100.0,2.9
100.0,3.0
100.0,3.1
99.9,3.3
100.0,3.5
100.0,3.6
99.9,3.7
99.9,3.9
99.9,4.1
100.0,4.3
99.1,4.4
97.7,4.4
97.7,4.4
97.8,4.6
97.9,4.8
97.9,4.9
97.9,5.1
98.0,5.3
98.0,5.5
98.0,5.5
98.1,5.6
98.1,5.9
98.1,6.1
98.2,6.3
98.1,6.4
98.0,6.6
98.0,6.8
98.0,7.0
98.1,7.3
98.1,7.5
98.2,7.5
98.2,7.5
98.2,7.5
98.3,7.5
98.3,7.5
98.3,7.5
98.3,5.2
