Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 06:17:38,0.29000,3.42129,3.42129,0.00000
2024-11-26 06:17:39,0.27500,3.37062,3.37062,0.00000
2024-11-26 06:17:40,0.26250,3.33168,3.33168,0.00000
2024-11-26 06:17:41,0.26250,3.33168,3.33168,0.00000
2024-11-26 06:17:42,0.26500,3.33924,3.33924,0.00000
2024-11-26 06:17:43,0.26250,3.33168,3.33168,0.00000
2024-11-26 06:17:44,0.25815,3.31879,3.31879,0.00000
2024-11-26 06:17:45,0.26065,3.32617,3.32617,0.00000
2024-11-26 06:17:46,0.26065,3.32617,3.32617,0.00000
2024-11-26 06:17:47,0.26250,3.33168,3.33168,0.00000
2024-11-26 06:17:48,0.26185,3.32972,3.32972,0.00000
2024-11-26 06:17:49,0.26065,3.32617,3.32617,0.00000
2024-11-26 06:17:50,0.26434,3.33723,3.33723,0.00000
2024-11-26 06:17:51,0.26250,3.33168,3.33168,0.00000
2024-11-26 06:17:52,0.26065,3.32617,3.32617,0.00000
2024-11-26 06:17:53,0.26250,3.33168,3.33168,0.00000
2024-11-26 06:17:54,0.26065,3.32617,3.32617,0.00000
2024-11-26 06:17:55,0.27250,3.36260,3.36260,0.00000
2024-11-26 06:17:56,0.26065,3.32617,3.32617,0.00000
2024-11-26 06:17:57,0.26250,3.33168,3.33168,0.00000
2024-11-26 06:17:58,0.26750,3.34691,3.34691,0.00000
2024-11-26 06:17:59,0.26434,3.33723,3.33723,0.00000
2024-11-26 06:18:00,0.25945,3.32260,3.32260,0.00000
2024-11-26 06:18:01,0.29825,3.45103,3.45103,0.00000
2024-11-26 06:18:02,0.26750,3.34691,3.34691,0.00000
2024-11-26 06:18:03,0.26566,3.34126,3.34126,0.00000
2024-11-26 06:18:04,0.27889,3.38335,3.38335,0.00000
2024-11-26 06:18:05,0.26817,3.34898,3.34898,0.00000
2024-11-26 06:18:06,0.26500,3.33924,3.33924,0.00000
